slno,dtcname,tccode,meterno,realtimeclock,cumulativeenergykwhimport,phasecurrent,neutralcurrent,voltage,currentrphase,currentyphase,currentbphase,voltagerphase,voltageyphase,voltagebphase,pfrphase,pfyphase,pfbphase,avgpf,frequency,cumulativeenergykvahimport,cumulativeenergykvahexport,apparentpowerkva,signedactivepowerkw,signedreactivepowerkvar,noofpowerfailures,cumulativepoweroffdurationinmin,cumulativepowerondurationinmin,cummulativetampercount,cummulativebillingcount,cummulativeprogrammingcount,billingdate,cumulativeenergykwhexport,maximumdemandkw,maximumdemandkva,loadlimitfunctionstatus,loadlimitvaluekw,cumulativeenergykvarh_q1,cumulativeenergykvarh_q2,cumulativeenergykvarh_q3,cumulativeenergykvarh_q4,captured_date_time,uniqueid_x,phase,signalstrength,issid,time_key,timestamp,water_data,flowrate,rr_no,createddate,uniqueid_y,Dry_Run_Fault
61071,,,2228019,2026-02-18 08:03:00,43280096.0,,,,0.0,0.0,0.0,232.5719,233.3512,231.819,1.0,1.0,1.0,1.0,49.9547,49681992.0,0.0,0.0,0.0,0.0,215,236656,,5,7,0,2026-2-1 0:0:00,0.0,19056.0,22056.0,,,24369010.0,,,5.0,2026-02-18 09:00:07.350,55912172,,,2,2026-02-18 08:00:00,2026-02-18 08:00:02,544652.4,0.0,TWP370,2026-02-18 09:00:06.207,2974911,0
61103,,,2220,2026-02-18 07:54:00,10287660.0,,,,32.2345,33.9236,32.2926,233.964,233.5263,229.7351,0.8491,0.8334,0.8286,0.837,49.952,12541514.0,0.0,22876.1133,19147.9355,12511.5215,198,6878,,17,4,0,2026-2-1 0:0:00,0.0,19656.0,24952.0,,,7161178.0,,,0.0,2026-02-18 09:00:07.350,55912107,,,3,2026-02-18 08:00:00,2026-02-18 08:00:02,7148291.2,12.682,TBP10340,2026-02-18 09:00:06.207,2974862,0
61199,,,2228561,2026-02-18 08:01:00,26009948.0,,,,29.4311,29.3096,31.1312,221.4094,223.8681,226.8571,0.8646,0.8949,0.8707,0.8766,49.9546,29747696.0,0.0,20128.3633,17645.4336,9668.8193,127,341852,,4,6,0,2026-2-1 0:0:00,0.0,19992.0,22800.0,,,14377822.0,,,1.0,2026-02-18 09:00:07.350,55913020,,,5,2026-02-18 08:00:00,2026-02-18 08:00:01,10043701.5,6.677,P8639,2026-02-18 09:00:06.207,2975532,0
61263,,,2228995,2026-02-18 08:01:00,9903255.0,,,,36.6179,36.9479,36.3091,221.3486,212.1137,219.0111,0.8491,0.8457,0.8611,0.852,49.9496,11773647.0,0.0,23888.5547,20352.7383,12503.5254,71,1508,,80,2,0,2026-2-1 0:0:00,0.0,21352.0,26384.0,,,6296879.0,,,118.0,2026-02-18 09:00:07.350,55912278,,,7,2026-02-18 08:00:00,2026-02-18 08:00:02,3633417.9,6.741,DVP1093,2026-02-18 09:00:06.207,2974977,0
61150,,,2229436,2026-02-18 08:04:00,3744858.0,,,,0.0,0.0,0.0,242.3475,239.0563,241.6445,1.0,1.0,1.0,1.0,49.9074,4430478.0,0.0,0.0,0.0,0.0,242,7723,,2,5,0,2026-2-1 0:0:00,0.0,12456.0,15576.0,,,2362450.0,,,0.0,2026-02-18 09:00:07.350,55913180,,,9,2026-02-18 08:00:00,2026-02-18 08:01:48,3486054.7,0.0,NWP6432,2026-02-18 09:00:06.207,2975650,0
61246,,,2229073,2026-02-18 08:15:00,11196604.0,,,,21.9952,22.3827,22.2974,246.7163,247.2191,245.2603,0.8688,0.8656,0.8712,0.8685,49.8485,12838475.0,0.0,16417.2891,14258.6406,8137.1299,344,358140,,4,4,0,2026-2-1 0:0:00,0.0,14520.0,16832.0,,,6279551.0,,,187.0,2026-02-18 09:00:07.350,55912933,,,11,2026-02-18 08:15:00,2026-02-18 08:14:47,6946499.5,0.0,DBP11494,2026-02-18 09:00:06.207,2975470,1
61342,,,2228801,2026-02-18 08:00:00,5577610.0,,,,26.4229,26.1548,25.8001,210.0709,210.5676,208.2304,0.9256,0.9172,0.9207,0.9212,49.9617,6093201.0,0.0,16421.9141,15127.6719,6388.3999,1000,44107,,4,8,0,2026-2-1 0:0:00,0.0,16616.0,17904.0,,,2428762.0,,,1114.0,2026-02-18 09:00:07.350,55911974,,,14,2026-02-18 08:00:00,2026-02-18 08:00:02,5357976.6,7.311,NP5650,2026-02-18 09:00:06.207,2974766,0
61070,,,2229111,2026-02-18 08:02:00,12.0,,,,0.0,0.0,0.0,103.3074,232.5008,199.2083,1.0,1.0,1.0,1.0,49.9542,12.0,0.0,0.0,0.0,0.0,253,9086,,3,5,0,2026-2-1 0:0:00,0.0,0.0,0.0,,,0.0,,,0.0,2026-02-18 09:00:07.350,55912165,,,15,2026-02-18 08:00:00,2026-02-18 08:00:03,134735.4,0.0,TWP78,2026-02-18 09:00:06.207,2974905,0
61102,,,2228531,2026-02-18 07:59:00,9306031.0,,,,0.0,0.0,0.0,237.7561,238.0186,238.6446,1.0,1.0,1.0,1.0,49.9511,12788928.0,0.0,0.0,0.0,0.0,538,124132,,67,11,0,2026-2-1 0:0:00,0.0,24016.0,27128.0,,,5567975.0,,,1.0,2026-02-18 09:00:07.350,55912049,,,16,2026-02-18 08:00:00,2026-02-18 08:00:01,903433.1,0.0,DBP10936,2026-02-18 09:00:06.207,2974821,0
61134,,,2229151,2026-02-18 08:03:00,0.0,,,,0.0,0.0,0.0,241.6725,30.2245,238.0578,1.0,0.0,1.0,1.0,49.9489,0.0,0.0,0.0,0.0,0.0,76,421870,,1,4,0,2026-2-1 0:0:00,0.0,0.0,0.0,,,0.0,,,0.0,2026-02-18 09:00:07.350,55912350,,,17,2026-02-18 08:00:00,2026-02-18 08:00:02,408379.2,0.0,NP316,2026-02-18 09:00:06.207,2975033,0
